{'R_grad_norm': 0.19678473211824893, 'training_loss': 0.9485261482000351}
{'R_grad_norm': 0.21147574357688426, 'training_loss': 0.927604660987854}
{'R_grad_norm': 0.22623851127922534, 'training_loss': 0.904388844370842}
{'R_grad_norm': 0.23300062112510203, 'training_loss': 0.8846066373586655}
{'R_grad_norm': 0.24104228675365447, 'training_loss': 0.8685783755779266}
{'R_grad_norm': 0.24853079043328763, 'training_loss': 0.8555190673470497}
{'R_grad_norm': 0.24833908185362816, 'training_loss': 0.8504851984977723}
{'R_grad_norm': 0.2531201396882534, 'training_loss': 0.8450138577818871}
{'R_grad_norm': 0.26085035257041456, 'training_loss': 0.8384778645634651}
{'R_grad_norm': 0.2544532684236765, 'training_loss': 0.8359377881884575}
{'R_grad_norm': 0.26271482653915884, 'training_loss': 0.8335524973273277}
{'R_grad_norm': 0.2623761836439371, 'training_loss': 0.8309277808666229}
{'R_grad_norm': 0.25975108608603475, 'training_loss': 0.8315139046311378}
{'R_grad_norm': 0.25872740216553214, 'training_loss': 0.8248253092169762}
{'R_grad_norm': 0.26033606112003327, 'training_loss': 0.8287363460659981}
{'R_grad_norm': 0.25789600491523745, 'training_loss': 0.8252507600188256}
{'R_grad_norm': 0.2644567485153675, 'training_loss': 0.8254819399118424}
{'R_grad_norm': 0.25556589163839816, 'training_loss': 0.8246052584052086}
{'R_grad_norm': 0.2605425415188074, 'training_loss': 0.820572918355465}
{'R_grad_norm': 0.26503141835331917, 'training_loss': 0.8217714905738831}
{'R_grad_norm': 0.2646145989000797, 'training_loss': 0.8208401361107827}
{'R_grad_norm': 0.267567188218236, 'training_loss': 0.8170715063810349}
{'R_grad_norm': 0.26780654564499856, 'training_loss': 0.8180593231320381}
{'R_grad_norm': 0.2711977986246347, 'training_loss': 0.8151145172119141}
{'R_grad_norm': 0.27303852029144765, 'training_loss': 0.8119625601172448}
{'R_grad_norm': 0.2748985119909048, 'training_loss': 0.8128179827332497}
{'R_grad_norm': 0.2776764886081219, 'training_loss': 0.8118771448731422}
{'R_grad_norm': 0.2716894452273846, 'training_loss': 0.8111184927821159}
{'R_grad_norm': 0.2760612095147371, 'training_loss': 0.8136972621083259}
{'R_grad_norm': 0.28129596568644044, 'training_loss': 0.8125528165698052}
{'R_grad_norm': 0.27591100133955476, 'training_loss': 0.8095220056176186}
{'R_grad_norm': 0.2717136164009571, 'training_loss': 0.810607981979847}
{'R_grad_norm': 0.27696407414972785, 'training_loss': 0.80816919028759}
{'R_grad_norm': 0.2751940503716469, 'training_loss': 0.8113200971484185}
{'R_grad_norm': 0.2780956155061722, 'training_loss': 0.8100854581594468}
{'R_grad_norm': 0.27846963457763196, 'training_loss': 0.8102768015861511}
{'R_grad_norm': 0.27756011962890625, 'training_loss': 0.8097168737649918}
{'R_grad_norm': 0.27658652849495413, 'training_loss': 0.8087033766508103}
{'R_grad_norm': 0.2752972999215126, 'training_loss': 0.8067970350384712}
{'R_grad_norm': 0.27771779485046866, 'training_loss': 0.8094744181632996}
{'R_grad_norm': 0.27555519953370095, 'training_loss': 0.8079856562614441}
{'R_grad_norm': 0.2794397271424532, 'training_loss': 0.8071064820885658}
{'R_grad_norm': 0.28009688928723336, 'training_loss': 0.8099537086486817}
{'R_grad_norm': 0.2819483305513859, 'training_loss': 0.807719541490078}
{'R_grad_norm': 0.2793092529475689, 'training_loss': 0.8097857403755188}
{'R_grad_norm': 0.28010134018957616, 'training_loss': 0.8058704701066017}
{'R_grad_norm': 0.2717658122628927, 'training_loss': 0.8068087095022202}
{'R_grad_norm': 0.2776908565312624, 'training_loss': 0.8082409849762917}
{'R_grad_norm': 0.27547721564769745, 'training_loss': 0.8091088882088662}
{'R_grad_norm': 0.2765433932840824, 'training_loss': 0.8052713602781296}
******* FINISHED: reached max_steps (10000)
evaluating (25 steps)...
 ******* eval result *******
mean (weighted) 0.5113104581832886
mean (unweighted) 0.5113104581832886
tensor([0.5391, 0.4835])
