{'R_grad_norm': 0.05054514987394214, 'training_loss': 0.07650374099612237}
{'R_grad_norm': 0.058789190016686914, 'training_loss': 0.054686895925551655}
{'R_grad_norm': 0.0617341017909348, 'training_loss': 0.048249735739082096}
{'R_grad_norm': 0.06308421384543181, 'training_loss': 0.04459203728474677}
{'R_grad_norm': 0.06509283341467381, 'training_loss': 0.04250181189738214}
{'R_grad_norm': 0.06506461098790169, 'training_loss': 0.040560836428776385}
{'R_grad_norm': 0.06564613038673997, 'training_loss': 0.0391876807436347}
{'R_grad_norm': 0.06647512720897794, 'training_loss': 0.03895249865949154}
{'R_grad_norm': 0.06664455283433199, 'training_loss': 0.0376794891897589}
{'R_grad_norm': 0.06727917224168778, 'training_loss': 0.03716574946418404}
{'R_grad_norm': 0.0680593334697187, 'training_loss': 0.037340551940724255}
{'R_grad_norm': 0.06773231359198689, 'training_loss': 0.03608028445392847}
{'R_grad_norm': 0.06826612563803792, 'training_loss': 0.03506688908673823}
{'R_grad_norm': 0.06819938402622938, 'training_loss': 0.03507308385334909}
{'R_grad_norm': 0.06879230033606291, 'training_loss': 0.035130480509251355}
{'R_grad_norm': 0.0691343574784696, 'training_loss': 0.034784365138038995}
{'R_grad_norm': 0.06882567338645458, 'training_loss': 0.03468004963360727}
{'R_grad_norm': 0.06913534041494131, 'training_loss': 0.03375982887111604}
{'R_grad_norm': 0.06960894491523505, 'training_loss': 0.03360441075637936}
{'R_grad_norm': 0.06963465822860598, 'training_loss': 0.03300149676389992}
{'R_grad_norm': 0.06977919019758701, 'training_loss': 0.033859202461317184}
{'R_grad_norm': 0.06970876721665263, 'training_loss': 0.03192370773293078}
{'R_grad_norm': 0.06942507162690163, 'training_loss': 0.032076113112270835}
{'R_grad_norm': 0.07089977813884615, 'training_loss': 0.03331709422171116}
{'R_grad_norm': 0.07065877046436071, 'training_loss': 0.033198569044470785}
{'R_grad_norm': 0.07051275882869959, 'training_loss': 0.03315803406760096}
{'R_grad_norm': 0.07113602813333272, 'training_loss': 0.03351966696791351}
{'R_grad_norm': 0.071161621324718, 'training_loss': 0.03255146524868906}
{'R_grad_norm': 0.07105429569259286, 'training_loss': 0.03177880367264151}
{'R_grad_norm': 0.07081920102238655, 'training_loss': 0.03208770121447742}
{'R_grad_norm': 0.07088220309466124, 'training_loss': 0.03191564598120749}
