{'R_grad_norm': 0.8027688139677047, 'training_loss': 3.637546281814575}
{'R_grad_norm': 0.7819469806551933, 'training_loss': 3.467550171613693}
{'R_grad_norm': 0.7859990951418877, 'training_loss': 3.379333702325821}
{'R_grad_norm': 0.7894311514496803, 'training_loss': 3.2849481177330015}
{'R_grad_norm': 0.7940750324726105, 'training_loss': 3.235658119916916}
{'R_grad_norm': 0.7973246642947197, 'training_loss': 3.195988733768463}
{'R_grad_norm': 0.7968414890766143, 'training_loss': 3.13967604637146}
{'R_grad_norm': 0.7977609491348266, 'training_loss': 3.1085676980018615}
{'R_grad_norm': 0.7998445338010788, 'training_loss': 3.085613880157471}
{'R_grad_norm': 0.8005700409412384, 'training_loss': 3.0532439136505127}
{'R_grad_norm': 0.8012907233834267, 'training_loss': 3.0266589748859407}
{'R_grad_norm': 0.8019519278407097, 'training_loss': 3.0110858476161955}
{'R_grad_norm': 0.8011398127675057, 'training_loss': 2.983056594133377}
{'R_grad_norm': 0.8025065895915031, 'training_loss': 2.969971189498901}
{'R_grad_norm': 0.79962950527668, 'training_loss': 2.9480301201343537}
{'R_grad_norm': 0.8021152347326279, 'training_loss': 2.9332223463058473}
{'R_grad_norm': 0.8026139429211616, 'training_loss': 2.9360848915576936}
{'R_grad_norm': 0.8010538843274116, 'training_loss': 2.9062946212291716}
{'R_grad_norm': 0.7980792748928071, 'training_loss': 2.8815259981155394}
{'R_grad_norm': 0.8003069251775742, 'training_loss': 2.885331680774689}
{'R_grad_norm': 0.7990138906240464, 'training_loss': 2.866252416372299}
{'R_grad_norm': 0.8013216251134873, 'training_loss': 2.872793198823929}
{'R_grad_norm': 0.7995208045840263, 'training_loss': 2.8550551569461824}
{'R_grad_norm': 0.7990778547525406, 'training_loss': 2.841804141998291}
{'R_grad_norm': 0.8016597002744674, 'training_loss': 2.848326859474182}
{'R_grad_norm': 0.7997323742508888, 'training_loss': 2.8373963916301728}
{'R_grad_norm': 0.7997906279563903, 'training_loss': 2.8353616058826447}
{'R_grad_norm': 0.7986732247471809, 'training_loss': 2.82356871843338}
{'R_grad_norm': 0.7979691645503044, 'training_loss': 2.8255861139297487}
{'R_grad_norm': 0.7984071144461632, 'training_loss': 2.8262282371520997}
{'R_grad_norm': 0.797651293873787, 'training_loss': 2.807049345970154}
{'R_grad_norm': 0.7967919817566872, 'training_loss': 2.806025985479355}
{'R_grad_norm': 0.7993129312992096, 'training_loss': 2.819337919950485}
{'R_grad_norm': 0.7976523342728615, 'training_loss': 2.804640072584152}
{'R_grad_norm': 0.7957814964652061, 'training_loss': 2.7992773163318634}
{'R_grad_norm': 0.7956458321213722, 'training_loss': 2.7897520589828493}
{'R_grad_norm': 0.7941062358021737, 'training_loss': 2.7847508347034453}
{'R_grad_norm': 0.7922933518886566, 'training_loss': 2.7632583796978}
{'R_grad_norm': 0.7949994298815727, 'training_loss': 2.7823043131828307}
{'R_grad_norm': 0.7918543103337288, 'training_loss': 2.757252278327942}
{'R_grad_norm': 0.7931817933917046, 'training_loss': 2.7725314927101135}
{'R_grad_norm': 0.7938695651292801, 'training_loss': 2.770715413093567}
{'R_grad_norm': 0.7900250911712646, 'training_loss': 2.7468769371509554}
{'R_grad_norm': 0.7953395366668701, 'training_loss': 2.7754471373558043}
{'R_grad_norm': 0.7954145866632462, 'training_loss': 2.76245796918869}
{'R_grad_norm': 0.795459860265255, 'training_loss': 2.7713194417953493}
{'R_grad_norm': 0.793943589925766, 'training_loss': 2.7571677565574646}
{'R_grad_norm': 0.7924833336472511, 'training_loss': 2.7586813485622406}
{'R_grad_norm': 0.7906477746367454, 'training_loss': 2.7541345489025115}
{'R_grad_norm': 0.7914021670818329, 'training_loss': 2.739223450422287}
{'R_grad_norm': 0.7923258709907531, 'training_loss': 2.762184203863144}
{'R_grad_norm': 0.7929583746194839, 'training_loss': 2.755647755861282}
{'R_grad_norm': 0.7952723672986031, 'training_loss': 2.767926412820816}
{'R_grad_norm': 0.7897815671563149, 'training_loss': 2.7415178430080416}
{'R_grad_norm': 0.7884975358843803, 'training_loss': 2.734282751083374}
{'R_grad_norm': 0.7884532341361046, 'training_loss': 2.743636646270752}
{'R_grad_norm': 0.7881569880247116, 'training_loss': 2.7377538311481477}
{'R_grad_norm': 0.7901339912414551, 'training_loss': 2.75036763548851}
{'R_grad_norm': 0.7873095965385437, 'training_loss': 2.720873034000397}
{'R_grad_norm': 0.7883316811919212, 'training_loss': 2.740744971036911}
{'R_grad_norm': 0.7849450531601906, 'training_loss': 2.7270725739002226}
{'R_grad_norm': 0.7859327891469001, 'training_loss': 2.7174543952941894}
{'R_grad_norm': 0.7871572905778885, 'training_loss': 2.7245872724056244}
{'R_grad_norm': 0.786738982796669, 'training_loss': 2.7344620990753175}
{'R_grad_norm': 0.7858193522691727, 'training_loss': 2.7275258612632753}
{'R_grad_norm': 0.7837792757153511, 'training_loss': 2.709509555101395}
