{'R_grad_norm': 0.6470659959316254, 'training_loss': 4.9259701085090635}
{'R_grad_norm': 0.6503732439875602, 'training_loss': 4.8814825963974}
{'R_grad_norm': 0.6528695383667946, 'training_loss': 4.848954071998596}
{'R_grad_norm': 0.6489501518011093, 'training_loss': 4.798106119632721}
{'R_grad_norm': 0.6493636703491211, 'training_loss': 4.7700268435478215}
{'R_grad_norm': 0.6448881649971008, 'training_loss': 4.741590099334717}
{'R_grad_norm': 0.6479652321338654, 'training_loss': 4.73475136756897}
{'R_grad_norm': 0.6454305127263069, 'training_loss': 4.706972863674164}
{'R_grad_norm': 0.6430634140968323, 'training_loss': 4.690503866672516}
{'R_grad_norm': 0.6449292561411858, 'training_loss': 4.681421308517456}
{'R_grad_norm': 0.6427114236354828, 'training_loss': 4.655440258979797}
{'R_grad_norm': 0.6412878599762917, 'training_loss': 4.6443870258331295}
{'R_grad_norm': 0.6403690278530121, 'training_loss': 4.61042982339859}
{'R_grad_norm': 0.6396814811229706, 'training_loss': 4.6104147696495055}
{'R_grad_norm': 0.6368265071511269, 'training_loss': 4.576363508701324}
{'R_grad_norm': 0.635806231200695, 'training_loss': 4.558504717350006}
{'R_grad_norm': 0.6384129792451858, 'training_loss': 4.56950266122818}
{'R_grad_norm': 0.6312605926394462, 'training_loss': 4.50180505990982}
{'R_grad_norm': 0.6342158207297325, 'training_loss': 4.513775897026062}
{'R_grad_norm': 0.6370433047413826, 'training_loss': 4.491493492126465}
{'R_grad_norm': 0.631549908220768, 'training_loss': 4.47006014585495}
{'R_grad_norm': 0.6274618831276894, 'training_loss': 4.4269506454467775}
{'R_grad_norm': 0.6309252575039863, 'training_loss': 4.429553818702698}
{'R_grad_norm': 0.6312532684206963, 'training_loss': 4.418956224918365}
{'R_grad_norm': 0.6266658875346184, 'training_loss': 4.390789005756378}
{'R_grad_norm': 0.625658283829689, 'training_loss': 4.382059426307678}
{'R_grad_norm': 0.6255012387037278, 'training_loss': 4.361362266540527}
{'R_grad_norm': 0.6228100463747979, 'training_loss': 4.336453170776367}
{'R_grad_norm': 0.6252277687191963, 'training_loss': 4.3401895833015445}
{'R_grad_norm': 0.625861414372921, 'training_loss': 4.341417800188065}
{'R_grad_norm': 0.6271199265122414, 'training_loss': 4.332719466686249}
{'R_grad_norm': 0.622944518327713, 'training_loss': 4.306333475112915}
{'R_grad_norm': 0.6267615658044815, 'training_loss': 4.309269639253617}
{'R_grad_norm': 0.622665022611618, 'training_loss': 4.278782532215119}
{'R_grad_norm': 0.6234157034754753, 'training_loss': 4.2869311606884}
{'R_grad_norm': 0.6217640069127083, 'training_loss': 4.2659258460998535}
{'R_grad_norm': 0.6219526907801628, 'training_loss': 4.257570798397064}
{'R_grad_norm': 0.6251312327384949, 'training_loss': 4.275697908401489}
{'R_grad_norm': 0.6249173632264138, 'training_loss': 4.270995222330093}
{'R_grad_norm': 0.6240962153673172, 'training_loss': 4.239704424142838}
{'R_grad_norm': 0.6234476631879806, 'training_loss': 4.241848149299622}
{'R_grad_norm': 0.6223352313041687, 'training_loss': 4.221729578971863}
{'R_grad_norm': 0.6298405626416206, 'training_loss': 4.251237771511078}
{'R_grad_norm': 0.6251421427726745, 'training_loss': 4.230554256439209}
{'R_grad_norm': 0.6259924677014351, 'training_loss': 4.22954981803894}
{'R_grad_norm': 0.6240857422351838, 'training_loss': 4.203579387664795}
{'R_grad_norm': 0.6235515266656876, 'training_loss': 4.200218470096588}
{'R_grad_norm': 0.6224931451678276, 'training_loss': 4.18752214550972}
{'R_grad_norm': 0.6221431890130042, 'training_loss': 4.174360156059265}
{'R_grad_norm': 0.6234676602482796, 'training_loss': 4.1738275468349455}
{'R_grad_norm': 0.6264884769916534, 'training_loss': 4.186402947902679}
{'R_grad_norm': 0.6268492165207863, 'training_loss': 4.176023030281067}
{'R_grad_norm': 0.6277315604686737, 'training_loss': 4.171249289512634}
{'R_grad_norm': 0.6259273672103882, 'training_loss': 4.160802218914032}
{'R_grad_norm': 0.6258114117383957, 'training_loss': 4.163903074264526}
{'R_grad_norm': 0.628134054839611, 'training_loss': 4.161213327646255}
{'R_grad_norm': 0.6230258297920227, 'training_loss': 4.139216501712799}
{'R_grad_norm': 0.6262848556041718, 'training_loss': 4.151762278079986}
{'R_grad_norm': 0.625122396349907, 'training_loss': 4.136414567232132}
{'R_grad_norm': 0.6277597022056579, 'training_loss': 4.143862450122834}
{'R_grad_norm': 0.6283029785752297, 'training_loss': 4.122665934562683}
{'R_grad_norm': 0.6310785818099975, 'training_loss': 4.127352740764618}
{'R_grad_norm': 0.6279772654175758, 'training_loss': 4.134378206729889}
{'R_grad_norm': 0.6273420652747155, 'training_loss': 4.127961341142655}
{'R_grad_norm': 0.6256309419870376, 'training_loss': 4.1159821486473085}
{'R_grad_norm': 0.6251668468117714, 'training_loss': 4.102495813369751}
{'R_grad_norm': 0.6279111221432686, 'training_loss': 4.124775291681289}
{'R_grad_norm': 0.625748256444931, 'training_loss': 4.100637823343277}
{'R_grad_norm': 0.625408416390419, 'training_loss': 4.092052764892578}
{'R_grad_norm': 0.6272761788964272, 'training_loss': 4.106923691034317}
{'R_grad_norm': 0.6251823380589485, 'training_loss': 4.088552570343017}
{'R_grad_norm': 0.6231110596656799, 'training_loss': 4.080877859592437}
{'R_grad_norm': 0.6259675073623657, 'training_loss': 4.08794783115387}
{'R_grad_norm': 0.6270809239149093, 'training_loss': 4.073713101148606}
{'R_grad_norm': 0.6256454426050186, 'training_loss': 4.086086831092834}
