{'R_grad_norm': 2.223083311319351, 'training_loss': 15.35639084815979}
{'R_grad_norm': 2.2691480207443235, 'training_loss': 15.110988459587098}
{'R_grad_norm': 2.3133641016483306, 'training_loss': 14.898475389480591}
{'R_grad_norm': 2.344737114906311, 'training_loss': 14.757156000137329}
{'R_grad_norm': 2.3642731201648712, 'training_loss': 14.581492176055908}
{'R_grad_norm': 2.3745089244842528, 'training_loss': 14.447095775604248}
{'R_grad_norm': 2.397550376653671, 'training_loss': 14.409848752021789}
{'R_grad_norm': 2.3961181128025055, 'training_loss': 14.26631889820099}
{'R_grad_norm': 2.3991382336616516, 'training_loss': 14.18449655532837}
{'R_grad_norm': 2.3997343909740447, 'training_loss': 14.059916896820068}
{'R_grad_norm': 2.4083770048618316, 'training_loss': 14.034693932533264}
{'R_grad_norm': 2.414797739982605, 'training_loss': 13.972214422225953}
{'R_grad_norm': 2.413793159723282, 'training_loss': 13.936125202178955}
{'R_grad_norm': 2.4117254889011384, 'training_loss': 13.861723656654357}
{'R_grad_norm': 2.4109135937690733, 'training_loss': 13.795609707832336}
{'R_grad_norm': 2.411199972629547, 'training_loss': 13.73801962852478}
{'R_grad_norm': 2.4073673713207246, 'training_loss': 13.678923211097718}
{'R_grad_norm': 2.41172868847847, 'training_loss': 13.665474452972411}
{'R_grad_norm': 2.410579240322113, 'training_loss': 13.629500479698182}
{'R_grad_norm': 2.406038085222244, 'training_loss': 13.593432812690734}
{'R_grad_norm': 2.412320202589035, 'training_loss': 13.590334014892578}
{'R_grad_norm': 2.398412123918533, 'training_loss': 13.512964987754822}
{'R_grad_norm': 2.3994041979312897, 'training_loss': 13.464904217720031}
{'R_grad_norm': 2.3994559061527254, 'training_loss': 13.465076684951782}
{'R_grad_norm': 2.4056043899059296, 'training_loss': 13.486531429290771}
{'R_grad_norm': 2.3981924414634705, 'training_loss': 13.389812798500062}
{'R_grad_norm': 2.396709929704666, 'training_loss': 13.39011773109436}
{'R_grad_norm': 2.389962947368622, 'training_loss': 13.341213493347167}
{'R_grad_norm': 2.3923403441905977, 'training_loss': 13.343793940544128}
{'R_grad_norm': 2.3912500095367433, 'training_loss': 13.29664643764496}
{'R_grad_norm': 2.388354036808014, 'training_loss': 13.291528544425965}
{'R_grad_norm': 2.386924314498901, 'training_loss': 13.233945136070252}
{'R_grad_norm': 2.3974075388908385, 'training_loss': 13.302248616218566}
{'R_grad_norm': 2.3885639584064484, 'training_loss': 13.23039074420929}
{'R_grad_norm': 2.3814085733890535, 'training_loss': 13.182256860733032}
{'R_grad_norm': 2.381104724407196, 'training_loss': 13.148670682907104}
{'R_grad_norm': 2.3821692180633547, 'training_loss': 13.156283674240113}
{'R_grad_norm': 2.375642514228821, 'training_loss': 13.148986806869507}
{'R_grad_norm': 2.3747725105285644, 'training_loss': 13.109564089775086}
{'R_grad_norm': 2.3777263975143432, 'training_loss': 13.126324343681336}
{'R_grad_norm': 2.370321786403656, 'training_loss': 13.070984573364258}
{'R_grad_norm': 2.3646063578128813, 'training_loss': 13.042728114128114}
{'R_grad_norm': 2.365027651786804, 'training_loss': 13.046826434135436}
{'R_grad_norm': 2.3655460929870604, 'training_loss': 13.027375311851502}
{'R_grad_norm': 2.3571651017665864, 'training_loss': 12.994941811561585}
{'R_grad_norm': 2.3637030863761903, 'training_loss': 13.03512689113617}
{'R_grad_norm': 2.3621797692775726, 'training_loss': 13.000713725090026}
{'R_grad_norm': 2.361483484506607, 'training_loss': 12.983015007972718}
{'R_grad_norm': 2.3618943774700165, 'training_loss': 12.961120576858521}
{'R_grad_norm': 2.347744821310043, 'training_loss': 12.896011652946472}
{'R_grad_norm': 2.359484758377075, 'training_loss': 12.97854639530182}
{'R_grad_norm': 2.349799690246582, 'training_loss': 12.917358441352844}
{'R_grad_norm': 2.3514791536331177, 'training_loss': 12.909632630348206}
{'R_grad_norm': 2.353783733844757, 'training_loss': 12.958145709037781}
{'R_grad_norm': 2.3455116260051727, 'training_loss': 12.869587597846985}
{'R_grad_norm': 2.3495190703868865, 'training_loss': 12.922691655158996}
{'R_grad_norm': 2.3457757127285004, 'training_loss': 12.845814771652222}
{'R_grad_norm': 2.3478418135643007, 'training_loss': 12.899336094856261}
{'R_grad_norm': 2.3505481207370758, 'training_loss': 12.903266339302062}
{'R_grad_norm': 2.3467249059677124, 'training_loss': 12.8655717086792}
{'R_grad_norm': 2.3380718457698824, 'training_loss': 12.816890907287597}
{'R_grad_norm': 2.338113795518875, 'training_loss': 12.8280917263031}
{'R_grad_norm': 2.33760257601738, 'training_loss': 12.796105508804322}
{'R_grad_norm': 2.3376171255111693, 'training_loss': 12.811806449890137}
{'R_grad_norm': 2.341574354171753, 'training_loss': 12.832631683349609}
{'R_grad_norm': 2.3375593888759614, 'training_loss': 12.832976627349854}
{'R_grad_norm': 2.338982026576996, 'training_loss': 12.815440011024474}
{'R_grad_norm': 2.3261688137054444, 'training_loss': 12.757139186859131}
{'R_grad_norm': 2.3340211272239686, 'training_loss': 12.83260133266449}
{'R_grad_norm': 2.33140443444252, 'training_loss': 12.787910676002502}
{'R_grad_norm': 2.3336269092559814, 'training_loss': 12.772606768608092}
{'R_grad_norm': 2.320202720165253, 'training_loss': 12.730843949317933}
{'R_grad_norm': 2.3270946025848387, 'training_loss': 12.74605866909027}
{'R_grad_norm': 2.3261716091632842, 'training_loss': 12.74625364780426}
{'R_grad_norm': 2.3257495617866515, 'training_loss': 12.743223156929016}
{'R_grad_norm': 2.3220318400859834, 'training_loss': 12.701136927604676}
{'R_grad_norm': 2.323660732507706, 'training_loss': 12.736073741912842}
{'R_grad_norm': 2.329037319421768, 'training_loss': 12.770943007469178}
{'R_grad_norm': 2.3252255439758303, 'training_loss': 12.747951917648315}
{'R_grad_norm': 2.3252133178710936, 'training_loss': 12.740322403907776}
{'R_grad_norm': 2.3232151091098787, 'training_loss': 12.758724074363709}
{'R_grad_norm': 2.317847888469696, 'training_loss': 12.695071744918824}
{'R_grad_norm': 2.3150853943824767, 'training_loss': 12.673215394020081}
{'R_grad_norm': 2.318923497200012, 'training_loss': 12.735372605323791}
{'R_grad_norm': 2.3132908964157104, 'training_loss': 12.647675666809082}
{'R_grad_norm': 2.316613554954529, 'training_loss': 12.68061665058136}
{'R_grad_norm': 2.318699976205826, 'training_loss': 12.710289177894593}
{'R_grad_norm': 2.321611605882645, 'training_loss': 12.721674704551697}
{'R_grad_norm': 2.3153146612644195, 'training_loss': 12.692854180335999}
{'R_grad_norm': 2.3139040911197664, 'training_loss': 12.667125945091248}
{'R_grad_norm': 2.3160968112945555, 'training_loss': 12.708549585342407}
{'R_grad_norm': 2.31007866024971, 'training_loss': 12.650880699157716}
{'R_grad_norm': 2.3092970669269564, 'training_loss': 12.638611454963684}
{'R_grad_norm': 2.3101992440223693, 'training_loss': 12.64916666507721}
{'R_grad_norm': 2.3152111887931826, 'training_loss': 12.70785973072052}
{'R_grad_norm': 2.3133951902389525, 'training_loss': 12.675065817832946}
{'R_grad_norm': 2.3106550931930543, 'training_loss': 12.65146176815033}
